Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
MX1,ENSG00000157601,IRF3,+,1043,1060,Genomic
MX1,ENSG00000157601,IRF3,+,1049,1066,Genomic
MX1,ENSG00000157601,IRF3,+,10473,10490,Genomic
MX1,ENSG00000157601,IRF3,+,20192,20209,Genomic
MX1,ENSG00000157601,IRF3,+,26015,26032,Genomic
MX1,ENSG00000157601,IRF3,-,15374,15391,Genomic
MX1,ENSG00000157601,IRF3,-,15380,15397,Genomic
MX1,ENSG00000157601,IRF3,-,42073,42090,Genomic
MX1,ENSG00000157601,IRF3,-,46042,46059,Genomic
MX1,ENSG00000157601,+,787,804,Transcript,
MX1,ENSG00000157601,+,1428,1445,Transcript,
OASL,ENSG00000135114,IRF3,+,7846,7863,Genomic
OASL,ENSG00000135114,IRF3,+,8442,8459,Genomic
OASL,ENSG00000135114,IRF3,-,15962,15979,Genomic
OASL,ENSG00000135114,IRF3,-,17901,17918,Genomic
OASL,ENSG00000135114,IRF3,-,17907,17924,Genomic
OASL,ENSG00000135114,IRF3,-,17920,17937,Genomic
GBP4,ENSG00000162654,IRF3,+,200,217,Genomic
GBP4,ENSG00000162654,IRF3,+,6183,6200,Genomic
GBP4,ENSG00000162654,IRF3,+,13050,13067,Genomic
GBP4,ENSG00000162654,IRF3,+,13491,13508,Genomic
GBP4,ENSG00000162654,IRF3,-,495,512,Genomic
GBP4,ENSG00000162654,IRF3,-,3656,3673,Genomic
GBP4,ENSG00000162654,IRF3,-,11667,11684,Genomic
GBP4,ENSG00000162654,IRF3,-,15545,15562,Genomic
GBP4,ENSG00000162654,+,1755,1772,Transcript,
GBP4,ENSG00000162654,-,3387,3404,Transcript,
CMPK2,ENSG00000134326,IRF3,+,11350,11367,Genomic
CMPK2,ENSG00000134326,IRF3,+,11748,11765,Genomic
CMPK2,ENSG00000134326,IRF3,+,12978,12995,Genomic
CMPK2,ENSG00000134326,IRF3,+,16326,16343,Genomic
CMPK2,ENSG00000134326,IRF3,+,16512,16529,Genomic
CMPK2,ENSG00000134326,IRF3,-,1319,1336,Genomic
CMPK2,ENSG00000134326,IRF3,-,10173,10190,Genomic
CMPK2,ENSG00000134326,IRF3,-,13496,13513,Genomic
CMPK2,ENSG00000134326,IRF3,-,16492,16509,Genomic
CMPK2,ENSG00000134326,-,91,108,Transcript,
IFI44L,ENSG00000137959,IRF3,+,9071,9088,Genomic
IFI44L,ENSG00000137959,IRF3,+,23206,23223,Genomic
IFI44L,ENSG00000137959,IRF3,+,23212,23229,Genomic
IFI44L,ENSG00000137959,IRF3,-,940,957,Genomic
IFI44L,ENSG00000137959,IRF3,-,1031,1048,Genomic
IFI44L,ENSG00000137959,IRF3,-,3774,3791,Genomic
IFI44L,ENSG00000137959,IRF3,-,4915,4932,Genomic
IFI44L,ENSG00000137959,IRF3,-,5211,5228,Genomic
IFI44L,ENSG00000137959,IRF3,-,21942,21959,Genomic
IFI44L,ENSG00000137959,+,2291,2308,Transcript,
IFI44L,ENSG00000137959,+,2297,2314,Transcript,
IFIT3,ENSG00000119917,IRF3,+,3806,3823,Genomic
IFIT3,ENSG00000119917,IRF3,+,17462,17479,Genomic
IFIT3,ENSG00000119917,IRF3,+,37137,37154,Genomic
IFIT3,ENSG00000119917,IRF3,+,37143,37160,Genomic
IFIT3,ENSG00000119917,IRF3,+,37921,37938,Genomic
IFIT3,ENSG00000119917,IRF3,+,39792,39809,Genomic
IFIT3,ENSG00000119917,IRF3,+,45137,45154,Genomic
IFIT3,ENSG00000119917,IRF3,-,1033,1050,Genomic
IFIT3,ENSG00000119917,IRF3,-,1067,1084,Genomic
IFIT3,ENSG00000119917,IRF3,-,1074,1091,Genomic
IFIT3,ENSG00000119917,IRF3,-,1080,1097,Genomic
IFIT3,ENSG00000119917,IRF3,-,5621,5638,Genomic
IFIT3,ENSG00000119917,IRF3,-,5627,5644,Genomic
IFIT3,ENSG00000119917,IRF3,-,5670,5687,Genomic
IFIT3,ENSG00000119917,IRF3,-,5676,5693,Genomic
IFIT3,ENSG00000119917,IRF3,-,24157,24174,Genomic
TNFSF10,ENSG00000121858,IRF3,-,357,374,Genomic
TNFSF10,ENSG00000121858,IRF3,-,489,506,Genomic
TNFSF10,ENSG00000121858,IRF3,-,1063,1080,Genomic
TNFSF10,ENSG00000121858,IRF3,-,1444,1461,Genomic
TNFSF10,ENSG00000121858,IRF3,-,2484,2501,Genomic
TNFSF10,ENSG00000121858,IRF3,-,3119,3136,Genomic
TNFSF10,ENSG00000121858,IRF3,-,4642,4659,Genomic
TNFSF10,ENSG00000121858,IRF3,-,15052,15069,Genomic
TNFSF10,ENSG00000121858,IRF3,-,16651,16668,Genomic
OAS1,ENSG00000089127,IRF3,+,1588,1605,Genomic
OAS1,ENSG00000089127,IRF3,+,2148,2165,Genomic
OAS1,ENSG00000089127,IRF3,+,5054,5071,Genomic
OAS1,ENSG00000089127,IRF3,+,6052,6069,Genomic
OAS1,ENSG00000089127,IRF3,+,18583,18600,Genomic
OAS1,ENSG00000089127,IRF3,-,8830,8847,Genomic
OAS1,ENSG00000089127,IRF3,-,9308,9325,Genomic
OAS1,ENSG00000089127,IRF3,-,9956,9973,Genomic
OAS1,ENSG00000089127,IRF3,-,15131,15148,Genomic
USP18,ENSG00000184979,IRF3,-,716,733,Genomic
USP18,ENSG00000184979,IRF3,-,3385,3402,Genomic
