Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
KCNAB1,ENSG00000169282,IRF7,+,1893,1906,Genomic
KCNAB1,ENSG00000169282,IRF7,+,48583,48596,Genomic
KCNAB1,ENSG00000169282,IRF7,+,63706,63719,Genomic
KCNAB1,ENSG00000169282,IRF7,+,97602,97615,Genomic
KCNAB1,ENSG00000169282,IRF7,+,98464,98477,Genomic
KCNAB1,ENSG00000169282,IRF7,+,238866,238879,Genomic
KCNAB1,ENSG00000169282,IRF7,+,337030,337043,Genomic
KCNAB1,ENSG00000169282,IRF7,+,345294,345307,Genomic
KCNAB1,ENSG00000169282,IRF7,+,383647,383660,Genomic
KCNAB1,ENSG00000169282,IRF7,+,429995,430008,Genomic
KCNAB1,ENSG00000169282,IRF7,-,13002,13015,Genomic
KCNAB1,ENSG00000169282,IRF7,-,17368,17381,Genomic
KCNAB1,ENSG00000169282,IRF7,-,84769,84782,Genomic
KCNAB1,ENSG00000169282,IRF7,-,111643,111656,Genomic
KCNAB1,ENSG00000169282,IRF7,-,123607,123620,Genomic
KCNAB1,ENSG00000169282,IRF7,-,132725,132738,Genomic
KCNAB1,ENSG00000169282,IRF7,-,156112,156125,Genomic
KCNAB1,ENSG00000169282,IRF7,-,168350,168363,Genomic
KCNAB1,ENSG00000169282,IRF7,-,207660,207673,Genomic
KCNAB1,ENSG00000169282,IRF7,-,264454,264467,Genomic
KCNAB1,ENSG00000169282,IRF7,-,281061,281074,Genomic
KCNAB1,ENSG00000169282,IRF7,-,312678,312691,Genomic
KCNAB1,ENSG00000169282,IRF7,-,332844,332857,Genomic
KCNAB1,ENSG00000169282,IRF7,-,336186,336199,Genomic
KCNAB1,ENSG00000169282,IRF7,-,446430,446443,Genomic
ZNF341,ENSG00000131061,IRF7,-,51332,51345,Genomic
ZNF341,ENSG00000131061,IRF7,-,55291,55304,Genomic
SDR9C7,ENSG00000170426,IRF7,+,4129,4142,Genomic
MRC2,ENSG00000011028,IRF7,+,56279,56292,Genomic
MRC2,ENSG00000011028,IRF7,-,24925,24938,Genomic
COL23A1,ENSG00000050767,IRF7,+,55886,55899,Genomic
COL23A1,ENSG00000050767,IRF7,+,192184,192197,Genomic
COL23A1,ENSG00000050767,IRF7,+,338988,339001,Genomic
COL23A1,ENSG00000050767,IRF7,-,18793,18806,Genomic
