Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
MX1,ENSG00000157601,IRF9,+,1046,1061,Genomic
IFIT3,ENSG00000119917,IRF9,+,10409,10424,Genomic
IFIT3,ENSG00000119917,IRF9,-,5669,5684,Genomic
USP18,ENSG00000184979,IRF9,-,715,730,Genomic
IFIH1,ENSG00000115267,IRF9,+,476,491,Genomic
ISG15,ENSG00000187608,IRF9,+,12749,12764,Genomic
RTP4,ENSG00000136514,IRF9,+,479,494,Genomic
SAMD9L,ENSG00000177409,IRF9,+,449,464,Genomic
IFI44,ENSG00000137965,IRF9,-,473,488,Genomic
PARP14,ENSG00000173193,IRF9,+,468,483,Genomic
PARP14,ENSG00000173193,IRF9,-,2814,2829,Genomic
XAF1,ENSG00000132530,IRF9,-,1066,1081,Genomic
IRF7,ENSG00000185507,IRF9,+,219,234,Genomic
APOL2,ENSG00000128335,IRF9,+,2164,2179,Genomic
SAMD9,ENSG00000205413,IRF9,+,405,420,Genomic
APOL3,ENSG00000128284,IRF9,+,9713,9728,Genomic
TRIM14,ENSG00000106785,IRF9,-,472,487,Genomic
PARP12,ENSG00000059378,IRF9,-,488,503,Genomic
SAMHD1,ENSG00000101347,IRF9,-,1506,1521,Genomic
SAMHD1,ENSG00000101347,IRF9,-,5309,5324,Genomic
PARP9,ENSG00000138496,IRF9,+,25478,25493,Genomic
PARP9,ENSG00000138496,IRF9,-,734,749,Genomic
RNF213,ENSG00000173821,IRF9,-,690,705,Genomic
DHX58,ENSG00000108771,IRF9,-,481,496,Genomic
DHX58,ENSG00000108771,IRF9,-,1007,1022,Genomic
DHX58,ENSG00000108771,-,108,123,Transcript,
DDX60,ENSG00000137628,IRF9,+,540,555,Genomic
DDX60,ENSG00000137628,IRF9,+,575,590,Genomic
IRF1,ENSG00000125347,IRF9,+,12182,12197,Genomic
DTX3L,ENSG00000163840,IRF9,+,491,506,Genomic
PDZD2,ENSG00000133401,IRF9,+,28751,28766,Genomic
PDZD2,ENSG00000133401,IRF9,-,263583,263598,Genomic
PDZD2,ENSG00000133401,IRF9,-,381961,381976,Genomic
NLRC5,ENSG00000140853,IRF9,-,566,581,Genomic
TMEM229B,ENSG00000198133,IRF9,-,19313,19328,Genomic
TAP2,ENSG00000204267,IRF9,+,439,454,Genomic
TRIM5,ENSG00000132256,IRF9,+,230138,230153,Genomic
TRIM5,ENSG00000132256,IRF9,-,3107,3122,Genomic
TRIM5,ENSG00000132256,IRF9,-,143606,143621,Genomic
ZNFX1,ENSG00000124201,IRF9,+,806,821,Genomic
EIF2AK2,ENSG00000055332,IRF9,+,32971,32986,Genomic
C19orf66,ENSG00000130813,IRF9,+,649,664,Genomic
PARP10,ENSG00000178685,IRF9,-,26806,26821,Genomic
SLC25A28,ENSG00000155287,IRF9,-,3844,3859,Genomic
IRF2,ENSG00000168310,IRF9,+,26244,26259,Genomic
IRF2,ENSG00000168310,IRF9,+,77667,77682,Genomic
IRF2,ENSG00000168310,IRF9,-,25987,26002,Genomic
IFI27,ENSG00000165949,IRF9,-,6290,6305,Genomic
