Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
MX1,ENSG00000157601,IRF3,+,1043,1060,Genomic
MX1,ENSG00000157601,IRF3,+,1049,1066,Genomic
MX1,ENSG00000157601,IRF3,+,10473,10490,Genomic
MX1,ENSG00000157601,IRF3,+,20192,20209,Genomic
MX1,ENSG00000157601,IRF3,-,15380,15397,Genomic
MX1,ENSG00000157601,IRF3,-,46042,46059,Genomic
MX1,ENSG00000157601,+,787,804,Transcript,
OASL,ENSG00000135114,IRF3,+,8442,8459,Genomic
GBP4,ENSG00000162654,IRF3,+,200,217,Genomic
GBP4,ENSG00000162654,IRF3,+,13050,13067,Genomic
GBP4,ENSG00000162654,IRF3,+,13491,13508,Genomic
GBP4,ENSG00000162654,IRF3,-,495,512,Genomic
GBP4,ENSG00000162654,IRF3,-,3656,3673,Genomic
GBP4,ENSG00000162654,+,1755,1772,Transcript,
CMPK2,ENSG00000134326,IRF3,+,11350,11367,Genomic
CMPK2,ENSG00000134326,IRF3,+,12978,12995,Genomic
CMPK2,ENSG00000134326,IRF3,+,16512,16529,Genomic
CMPK2,ENSG00000134326,IRF3,-,1319,1336,Genomic
CMPK2,ENSG00000134326,IRF3,-,13496,13513,Genomic
CMPK2,ENSG00000134326,IRF3,-,16492,16509,Genomic
CMPK2,ENSG00000134326,-,91,108,Transcript,
IFI44L,ENSG00000137959,IRF3,+,9071,9088,Genomic
IFI44L,ENSG00000137959,IRF3,-,3774,3791,Genomic
IFI44L,ENSG00000137959,IRF3,-,4915,4932,Genomic
IFIT3,ENSG00000119917,IRF3,+,3806,3823,Genomic
IFIT3,ENSG00000119917,IRF3,+,37921,37938,Genomic
IFIT3,ENSG00000119917,IRF3,+,45137,45154,Genomic
IFIT3,ENSG00000119917,IRF3,-,1033,1050,Genomic
IFIT3,ENSG00000119917,IRF3,-,1067,1084,Genomic
IFIT3,ENSG00000119917,IRF3,-,1080,1097,Genomic
IFIT3,ENSG00000119917,IRF3,-,5621,5638,Genomic
IFIT3,ENSG00000119917,IRF3,-,5627,5644,Genomic
IFIT3,ENSG00000119917,IRF3,-,5670,5687,Genomic
IFIT3,ENSG00000119917,IRF3,-,5676,5693,Genomic
TNFSF10,ENSG00000121858,IRF3,-,357,374,Genomic
TNFSF10,ENSG00000121858,IRF3,-,489,506,Genomic
TNFSF10,ENSG00000121858,IRF3,-,1063,1080,Genomic
TNFSF10,ENSG00000121858,IRF3,-,1444,1461,Genomic
TNFSF10,ENSG00000121858,IRF3,-,3119,3136,Genomic
TNFSF10,ENSG00000121858,IRF3,-,4642,4659,Genomic
TNFSF10,ENSG00000121858,IRF3,-,16651,16668,Genomic
OAS1,ENSG00000089127,IRF3,+,1588,1605,Genomic
OAS1,ENSG00000089127,IRF3,+,18583,18600,Genomic
OAS1,ENSG00000089127,IRF3,-,8830,8847,Genomic
OAS1,ENSG00000089127,IRF3,-,9956,9973,Genomic
USP18,ENSG00000184979,IRF3,-,716,733,Genomic
USP18,ENSG00000184979,IRF3,-,3385,3402,Genomic
USP18,ENSG00000184979,IRF3,-,10962,10979,Genomic
USP18,ENSG00000184979,IRF3,-,27508,27525,Genomic
USP18,ENSG00000184979,IRF3,-,27514,27531,Genomic
USP18,ENSG00000184979,-,1311,1328,Transcript,
USP18,ENSG00000184979,-,1317,1334,Transcript,
IFIH1,ENSG00000115267,IRF3,+,473,490,Genomic
IFIH1,ENSG00000115267,IRF3,+,34944,34961,Genomic
IFIH1,ENSG00000115267,IRF3,+,39018,39035,Genomic
IFIH1,ENSG00000115267,IRF3,+,41061,41078,Genomic
IFIH1,ENSG00000115267,IRF3,+,41497,41514,Genomic
IFIH1,ENSG00000115267,IRF3,+,50936,50953,Genomic
IFIH1,ENSG00000115267,IRF3,+,50937,50954,Genomic
IFIH1,ENSG00000115267,IRF3,-,334,351,Genomic
IFIH1,ENSG00000115267,IRF3,-,340,357,Genomic
IFIH1,ENSG00000115267,IRF3,-,9812,9829,Genomic
IFIH1,ENSG00000115267,IRF3,-,22273,22290,Genomic
IFIH1,ENSG00000115267,IRF3,-,27683,27700,Genomic
IFIH1,ENSG00000115267,IRF3,-,33924,33941,Genomic
IFIH1,ENSG00000115267,IRF3,-,40006,40023,Genomic
IFIH1,ENSG00000115267,+,2148,2165,Transcript,
IFIH1,ENSG00000115267,+,3022,3039,Transcript,
IFIH1,ENSG00000115267,+,3023,3040,Transcript,
GBP7,ENSG00000213512,IRF3,+,12666,12683,Genomic
GBP7,ENSG00000213512,IRF3,+,23886,23903,Genomic
GBP7,ENSG00000213512,IRF3,+,43192,43209,Genomic
GBP7,ENSG00000213512,IRF3,-,4529,4546,Genomic
GBP7,ENSG00000213512,IRF3,-,33264,33281,Genomic
GBP7,ENSG00000213512,+,1704,1721,Transcript,
GBP5,ENSG00000154451,IRF3,-,2781,2798,Genomic
GBP5,ENSG00000154451,IRF3,-,10076,10093,Genomic
GBP5,ENSG00000154451,IRF3,-,10082,10099,Genomic
DDX58,ENSG00000107201,IRF3,+,2242,2259,Genomic
DDX58,ENSG00000107201,IRF3,+,47311,47328,Genomic
DDX58,ENSG00000107201,IRF3,+,48812,48829,Genomic
DDX58,ENSG00000107201,IRF3,-,502,519,Genomic
DDX58,ENSG00000107201,IRF3,-,4007,4024,Genomic
DDX58,ENSG00000107201,IRF3,-,16238,16255,Genomic
