Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
KCNAB1,ENSG00000169282,IRF3,+,21783,21800,Genomic
KCNAB1,ENSG00000169282,IRF3,+,48578,48595,Genomic
KCNAB1,ENSG00000169282,IRF3,+,48584,48601,Genomic
KCNAB1,ENSG00000169282,IRF3,+,100079,100096,Genomic
KCNAB1,ENSG00000169282,IRF3,+,124765,124782,Genomic
KCNAB1,ENSG00000169282,IRF3,+,124771,124788,Genomic
KCNAB1,ENSG00000169282,IRF3,+,174735,174752,Genomic
KCNAB1,ENSG00000169282,IRF3,+,181802,181819,Genomic
KCNAB1,ENSG00000169282,IRF3,+,187382,187399,Genomic
KCNAB1,ENSG00000169282,IRF3,+,187422,187439,Genomic
KCNAB1,ENSG00000169282,IRF3,+,262483,262500,Genomic
KCNAB1,ENSG00000169282,IRF3,+,282643,282660,Genomic
KCNAB1,ENSG00000169282,IRF3,+,309950,309967,Genomic
KCNAB1,ENSG00000169282,IRF3,+,312084,312101,Genomic
KCNAB1,ENSG00000169282,IRF3,+,313880,313897,Genomic
KCNAB1,ENSG00000169282,IRF3,+,347766,347783,Genomic
KCNAB1,ENSG00000169282,IRF3,+,359105,359122,Genomic
KCNAB1,ENSG00000169282,IRF3,+,364006,364023,Genomic
KCNAB1,ENSG00000169282,IRF3,+,428440,428457,Genomic
KCNAB1,ENSG00000169282,IRF3,+,452486,452503,Genomic
KCNAB1,ENSG00000169282,IRF3,+,480897,480914,Genomic
KCNAB1,ENSG00000169282,IRF3,+,481248,481265,Genomic
KCNAB1,ENSG00000169282,IRF3,-,11067,11084,Genomic
KCNAB1,ENSG00000169282,IRF3,-,15729,15746,Genomic
KCNAB1,ENSG00000169282,IRF3,-,48029,48046,Genomic
KCNAB1,ENSG00000169282,IRF3,-,65579,65596,Genomic
KCNAB1,ENSG00000169282,IRF3,-,84770,84787,Genomic
KCNAB1,ENSG00000169282,IRF3,-,102811,102828,Genomic
KCNAB1,ENSG00000169282,IRF3,-,132726,132743,Genomic
KCNAB1,ENSG00000169282,IRF3,-,149475,149492,Genomic
KCNAB1,ENSG00000169282,IRF3,-,168092,168109,Genomic
KCNAB1,ENSG00000169282,IRF3,-,168351,168368,Genomic
KCNAB1,ENSG00000169282,IRF3,-,225977,225994,Genomic
KCNAB1,ENSG00000169282,IRF3,-,232599,232616,Genomic
KCNAB1,ENSG00000169282,IRF3,-,266803,266820,Genomic
KCNAB1,ENSG00000169282,IRF3,-,298487,298504,Genomic
KCNAB1,ENSG00000169282,IRF3,-,300249,300266,Genomic
KCNAB1,ENSG00000169282,IRF3,-,303104,303121,Genomic
KCNAB1,ENSG00000169282,IRF3,-,321456,321473,Genomic
KCNAB1,ENSG00000169282,IRF3,-,359124,359141,Genomic
KCNAB1,ENSG00000169282,IRF3,-,446431,446448,Genomic
KCNAB1,ENSG00000169282,+,559,576,Transcript,
ZNF341,ENSG00000131061,IRF3,+,13145,13162,Genomic
ZNF341,ENSG00000131061,IRF3,+,13151,13168,Genomic
ZNF341,ENSG00000131061,IRF3,+,21399,21416,Genomic
ZNF341,ENSG00000131061,IRF3,-,11614,11631,Genomic
SFXN4,ENSG00000183605,IRF3,-,18332,18349,Genomic
MRC2,ENSG00000011028,IRF3,+,58068,58085,Genomic
MRC2,ENSG00000011028,IRF3,-,13161,13178,Genomic
MRC2,ENSG00000011028,IRF3,-,34354,34371,Genomic
COL23A1,ENSG00000050767,IRF3,+,37154,37171,Genomic
COL23A1,ENSG00000050767,IRF3,+,81817,81834,Genomic
COL23A1,ENSG00000050767,IRF3,+,165364,165381,Genomic
COL23A1,ENSG00000050767,IRF3,+,177005,177022,Genomic
COL23A1,ENSG00000050767,IRF3,+,192179,192196,Genomic
COL23A1,ENSG00000050767,IRF3,+,203734,203751,Genomic
COL23A1,ENSG00000050767,IRF3,+,291244,291261,Genomic
COL23A1,ENSG00000050767,IRF3,+,338983,339000,Genomic
COL23A1,ENSG00000050767,IRF3,-,37319,37336,Genomic
COL23A1,ENSG00000050767,IRF3,-,67427,67444,Genomic
COL23A1,ENSG00000050767,IRF3,-,91718,91735,Genomic
COL23A1,ENSG00000050767,IRF3,-,99723,99740,Genomic
COL23A1,ENSG00000050767,IRF3,-,169460,169477,Genomic
COL23A1,ENSG00000050767,IRF3,-,210975,210992,Genomic
COL23A1,ENSG00000050767,IRF3,-,214018,214035,Genomic
COL23A1,ENSG00000050767,IRF3,-,243693,243710,Genomic
ROBO3,ENSG00000154134,IRF3,+,71,88,Genomic
WDR78,ENSG00000152763,IRF3,+,10808,10825,Genomic
WDR78,ENSG00000152763,IRF3,+,23558,23575,Genomic
WDR78,ENSG00000152763,IRF3,+,38803,38820,Genomic
WDR78,ENSG00000152763,IRF3,+,85461,85478,Genomic
WDR78,ENSG00000152763,IRF3,+,104392,104409,Genomic
WDR78,ENSG00000152763,IRF3,+,104398,104415,Genomic
WDR78,ENSG00000152763,IRF3,+,105994,106011,Genomic
WDR78,ENSG00000152763,IRF3,+,106144,106161,Genomic
WDR78,ENSG00000152763,IRF3,-,46874,46891,Genomic
WDR78,ENSG00000152763,IRF3,-,49332,49349,Genomic
WDR78,ENSG00000152763,IRF3,-,72254,72271,Genomic
WDR78,ENSG00000152763,IRF3,-,72997,73014,Genomic
WDR78,ENSG00000152763,IRF3,-,73611,73628,Genomic
SPINT1,ENSG00000166145,IRF3,-,5400,5417,Genomic
SDHC,ENSG00000143252,IRF3,+,27848,27865,Genomic
SDHC,ENSG00000143252,IRF3,-,24201,24218,Genomic
ENG,ENSG00000106991,IRF3,-,215,232,Genomic
ENG,ENSG00000106991,IRF3,-,3370,3387,Genomic
HOOK3,ENSG00000168172,IRF3,+,80046,80063,Genomic
HOOK3,ENSG00000168172,IRF3,+,120099,120116,Genomic
HOOK3,ENSG00000168172,IRF3,+,131151,131168,Genomic
HOOK3,ENSG00000168172,IRF3,-,36411,36428,Genomic
HOOK3,ENSG00000168172,IRF3,-,53144,53161,Genomic
HOOK3,ENSG00000168172,IRF3,-,98084,98101,Genomic
HOOK3,ENSG00000168172,IRF3,-,124737,124754,Genomic
HOOK3,ENSG00000168172,+,11409,11426,Transcript,
HOOK3,ENSG00000168172,-,4995,5012,Transcript,
ABCC6,ENSG00000091262,IRF3,+,6467,6484,Genomic
ABCC6,ENSG00000091262,IRF3,+,10462,10479,Genomic
ABCC6,ENSG00000091262,IRF3,-,11222,11239,Genomic
STRAP,ENSG00000023734,IRF3,+,16716,16733,Genomic
STRAP,ENSG00000023734,IRF3,-,11348,11365,Genomic
STRAP,ENSG00000023734,IRF3,-,13626,13643,Genomic
