Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
MX1,ENSG00000157601,IRF7,+,1048,1061,Genomic
MX1,ENSG00000157601,IRF7,+,26020,26033,Genomic
MX1,ENSG00000157601,IRF7,-,8736,8749,Genomic
MX1,ENSG00000157601,IRF7,-,42072,42085,Genomic
MX1,ENSG00000157601,+,1433,1446,Transcript,
OASL,ENSG00000135114,IRF7,-,5718,5731,Genomic
OASL,ENSG00000135114,IRF7,-,10617,10630,Genomic
GBP4,ENSG00000162654,IRF7,+,18481,18494,Genomic
CMPK2,ENSG00000134326,IRF7,+,108,121,Genomic
IFI44L,ENSG00000137959,IRF7,-,3773,3786,Genomic
IFI44L,ENSG00000137959,IRF7,-,17147,17160,Genomic
IFIT3,ENSG00000119917,IRF7,+,17467,17480,Genomic
IFIT3,ENSG00000119917,IRF7,+,31579,31592,Genomic
IFIT3,ENSG00000119917,IRF7,+,37926,37939,Genomic
IFIT3,ENSG00000119917,IRF7,-,1032,1045,Genomic
IFIT3,ENSG00000119917,IRF7,-,1066,1079,Genomic
IFIT3,ENSG00000119917,IRF7,-,5669,5682,Genomic
IFIT3,ENSG00000119917,IRF7,-,24785,24798,Genomic
TNFSF10,ENSG00000121858,IRF7,-,15687,15700,Genomic
OAS1,ENSG00000089127,IRF7,+,18588,18601,Genomic
USP18,ENSG00000184979,IRF7,+,735,748,Genomic
USP18,ENSG00000184979,IRF7,-,715,728,Genomic
IFIH1,ENSG00000115267,IRF7,+,28994,29007,Genomic
IFIH1,ENSG00000115267,IRF7,+,42410,42423,Genomic
IFIH1,ENSG00000115267,IRF7,+,50941,50954,Genomic
IFIH1,ENSG00000115267,IRF7,-,17434,17447,Genomic
IFIH1,ENSG00000115267,IRF7,-,21624,21637,Genomic
IFIH1,ENSG00000115267,IRF7,-,22278,22291,Genomic
IFIH1,ENSG00000115267,IRF7,-,44706,44719,Genomic
IFIH1,ENSG00000115267,+,2593,2606,Transcript,
IFIH1,ENSG00000115267,+,3027,3040,Transcript,
GBP7,ENSG00000213512,IRF7,+,33528,33541,Genomic
GBP7,ENSG00000213512,IRF7,-,11905,11918,Genomic
GBP7,ENSG00000213512,IRF7,-,40794,40807,Genomic
GBP5,ENSG00000154451,IRF7,+,7925,7938,Genomic
GBP5,ENSG00000154451,IRF7,-,10081,10094,Genomic
DDX58,ENSG00000107201,IRF7,+,24309,24322,Genomic
DDX58,ENSG00000107201,IRF7,+,30728,30741,Genomic
DDX58,ENSG00000107201,IRF7,-,501,514,Genomic
DDX58,ENSG00000107201,IRF7,-,71160,71173,Genomic
DDX58,ENSG00000107201,-,4241,4254,Transcript,
ISG15,ENSG00000187608,IRF7,+,12543,12556,Genomic
ISG15,ENSG00000187608,IRF7,+,12751,12764,Genomic
RTP4,ENSG00000136514,IRF7,+,481,494,Genomic
HERC6,ENSG00000138642,IRF7,+,36256,36269,Genomic
HERC6,ENSG00000138642,IRF7,+,45586,45599,Genomic
HERC6,ENSG00000138642,IRF7,-,1142,1155,Genomic
HERC6,ENSG00000138642,IRF7,-,4653,4666,Genomic
HERC6,ENSG00000138642,IRF7,-,32891,32904,Genomic
HERC6,ENSG00000138642,IRF7,-,41874,41887,Genomic
HERC6,ENSG00000138642,IRF7,-,43812,43825,Genomic
HERC6,ENSG00000138642,IRF7,-,45498,45511,Genomic
HERC6,ENSG00000138642,IRF7,-,64799,64812,Genomic
HERC6,ENSG00000138642,-,3716,3729,Transcript,
ZMYND15,ENSG00000141497,IRF7,+,310,323,Genomic
CD274,ENSG00000120217,IRF7,+,391,404,Genomic
CD274,ENSG00000120217,IRF7,-,329,342,Genomic
SAMD9L,ENSG00000177409,IRF7,+,451,464,Genomic
SAMD9L,ENSG00000177409,IRF7,+,1216,1229,Genomic
SAMD9L,ENSG00000177409,IRF7,+,1694,1707,Genomic
SAMD9L,ENSG00000177409,IRF7,+,6673,6686,Genomic
SAMD9L,ENSG00000177409,IRF7,+,16239,16252,Genomic
SAMD9L,ENSG00000177409,+,4559,4572,Transcript,
IFI44,ENSG00000137965,IRF7,-,473,486,Genomic
IFI44,ENSG00000137965,IRF7,-,14182,14195,Genomic
TLR3,ENSG00000164342,IRF7,+,18475,18488,Genomic
TLR3,ENSG00000164342,IRF7,+,18616,18629,Genomic
TLR3,ENSG00000164342,IRF7,-,739,752,Genomic
TLR3,ENSG00000164342,IRF7,-,1726,1739,Genomic
TLR3,ENSG00000164342,+,4827,4840,Transcript,
TLR3,ENSG00000164342,+,4968,4981,Transcript,
CIITA,ENSG00000179583,IRF7,+,1675,1688,Genomic
CIITA,ENSG00000179583,IRF7,+,16072,16085,Genomic
CIITA,ENSG00000179583,IRF7,-,71924,71937,Genomic
ISG20,ENSG00000172183,IRF7,+,3776,3789,Genomic
PARP14,ENSG00000173193,IRF7,+,470,483,Genomic
PARP14,ENSG00000173193,IRF7,-,2814,2827,Genomic
PARP14,ENSG00000173193,IRF7,-,16611,16624,Genomic
PARP14,ENSG00000173193,IRF7,-,42416,42429,Genomic
XAF1,ENSG00000132530,IRF7,+,12090,12103,Genomic
XAF1,ENSG00000132530,IRF7,+,19600,19613,Genomic
XAF1,ENSG00000132530,IRF7,-,1066,1079,Genomic
XAF1,ENSG00000132530,+,2316,2329,Transcript,
IRF7,ENSG00000185507,IRF7,+,221,234,Genomic
IRF7,ENSG00000185507,IRF7,-,778,791,Genomic
APOL2,ENSG00000128335,IRF7,+,2166,2179,Genomic
APOL2,ENSG00000128335,IRF7,+,3032,3045,Genomic
APOL2,ENSG00000128335,IRF7,-,866,879,Genomic
APOL2,ENSG00000128335,IRF7,-,872,885,Genomic
SAMD9,ENSG00000205413,IRF7,+,17796,17809,Genomic
SAMD9,ENSG00000205413,IRF7,-,7885,7898,Genomic
SAMD9,ENSG00000205413,+,5596,5609,Transcript,
