Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
KCNAB1,ENSG00000169282,IRF3,+,21783,21800,Genomic
KCNAB1,ENSG00000169282,IRF3,+,21860,21877,Genomic
KCNAB1,ENSG00000169282,IRF3,+,48578,48595,Genomic
KCNAB1,ENSG00000169282,IRF3,+,48584,48601,Genomic
KCNAB1,ENSG00000169282,IRF3,+,72196,72213,Genomic
KCNAB1,ENSG00000169282,IRF3,+,72501,72518,Genomic
KCNAB1,ENSG00000169282,IRF3,+,73302,73319,Genomic
KCNAB1,ENSG00000169282,IRF3,+,78349,78366,Genomic
KCNAB1,ENSG00000169282,IRF3,+,100079,100096,Genomic
KCNAB1,ENSG00000169282,IRF3,+,124765,124782,Genomic
KCNAB1,ENSG00000169282,IRF3,+,124771,124788,Genomic
KCNAB1,ENSG00000169282,IRF3,+,174735,174752,Genomic
KCNAB1,ENSG00000169282,IRF3,+,181802,181819,Genomic
KCNAB1,ENSG00000169282,IRF3,+,187382,187399,Genomic
KCNAB1,ENSG00000169282,IRF3,+,187422,187439,Genomic
KCNAB1,ENSG00000169282,IRF3,+,262483,262500,Genomic
KCNAB1,ENSG00000169282,IRF3,+,282643,282660,Genomic
KCNAB1,ENSG00000169282,IRF3,+,309950,309967,Genomic
KCNAB1,ENSG00000169282,IRF3,+,312084,312101,Genomic
KCNAB1,ENSG00000169282,IRF3,+,313880,313897,Genomic
KCNAB1,ENSG00000169282,IRF3,+,318973,318990,Genomic
KCNAB1,ENSG00000169282,IRF3,+,347766,347783,Genomic
KCNAB1,ENSG00000169282,IRF3,+,359105,359122,Genomic
KCNAB1,ENSG00000169282,IRF3,+,364006,364023,Genomic
KCNAB1,ENSG00000169282,IRF3,+,369587,369604,Genomic
KCNAB1,ENSG00000169282,IRF3,+,394450,394467,Genomic
KCNAB1,ENSG00000169282,IRF3,+,397484,397501,Genomic
KCNAB1,ENSG00000169282,IRF3,+,408096,408113,Genomic
KCNAB1,ENSG00000169282,IRF3,+,428440,428457,Genomic
KCNAB1,ENSG00000169282,IRF3,+,443347,443364,Genomic
KCNAB1,ENSG00000169282,IRF3,+,452486,452503,Genomic
KCNAB1,ENSG00000169282,IRF3,+,480897,480914,Genomic
KCNAB1,ENSG00000169282,IRF3,+,481248,481265,Genomic
KCNAB1,ENSG00000169282,IRF3,+,492378,492395,Genomic
KCNAB1,ENSG00000169282,IRF3,-,11067,11084,Genomic
KCNAB1,ENSG00000169282,IRF3,-,15729,15746,Genomic
KCNAB1,ENSG00000169282,IRF3,-,29792,29809,Genomic
KCNAB1,ENSG00000169282,IRF3,-,48029,48046,Genomic
KCNAB1,ENSG00000169282,IRF3,-,65579,65596,Genomic
