Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
MRC2,ENSG00000011028,IRF9,+,56277,56292,Genomic
SDHC,ENSG00000143252,IRF9,-,32543,32558,Genomic
RNF6,ENSG00000127870,IRF9,-,7369,7384,Genomic
RNF6,ENSG00000127870,-,849,864,Transcript,
HLF,ENSG00000108924,IRF9,-,56971,56986,Genomic
HLF,ENSG00000108924,-,1964,1979,Transcript,
COX7A2L,ENSG00000115944,IRF9,-,58430,58445,Genomic
SF3A3,ENSG00000183431,IRF9,-,10158,10173,Genomic
TAF12,ENSG00000120656,IRF9,-,14886,14901,Genomic
NTNG1,ENSG00000162631,IRF9,-,77985,78000,Genomic
NTNG1,ENSG00000162631,IRF9,-,134354,134369,Genomic
NTNG1,ENSG00000162631,IRF9,-,322693,322708,Genomic
WDR34,ENSG00000119333,IRF9,-,4436,4451,Genomic
EDAR,ENSG00000135960,IRF9,-,15088,15103,Genomic
EDAR,ENSG00000135960,IRF9,-,15094,15109,Genomic
SLC5A1,ENSG00000100170,IRF9,-,52066,52081,Genomic
UNC13A,ENSG00000130477,IRF9,+,79869,79884,Genomic
SLC20A2,ENSG00000168575,IRF9,-,54553,54568,Genomic
PIBF1,ENSG00000083535,IRF9,+,122613,122628,Genomic
PDSS1,ENSG00000148459,IRF9,-,45180,45195,Genomic
PLPP4,ENSG00000203805,IRF9,+,130836,130851,Genomic
PLPP4,ENSG00000203805,IRF9,-,13741,13756,Genomic
PLPP4,ENSG00000203805,IRF9,-,97368,97383,Genomic
CDH12,ENSG00000154162,IRF9,+,467914,467929,Genomic
CDH12,ENSG00000154162,IRF9,+,668607,668622,Genomic
CDH12,ENSG00000154162,IRF9,-,119396,119411,Genomic
ORC3,ENSG00000135336,IRF9,-,32462,32477,Genomic
ORC3,ENSG00000135336,IRF9,-,55822,55837,Genomic
ACLY,ENSG00000131473,IRF9,-,55699,55714,Genomic
STK32B,ENSG00000152953,IRF9,-,174528,174543,Genomic
