Gene_Name,Gene_ID,TF,Strand,Start,End
ROBO3,ENSG00000154134,+,2571,2588
SDHC,ENSG00000143252,+,1651,1668
SDHC,ENSG00000143252,+,1657,1674
HLF,ENSG00000108924,+,555,572
NTNG1,ENSG00000162631,+,838,855
KCNE3,ENSG00000175538,+,2052,2069
METTL21A,ENSG00000144401,+,1480,1497
SNORD89,ENSG00000212283,+,1246,1263
FCHO1,ENSG00000130475,+,730,747
FCHO1,ENSG00000130475,+,737,754
FCHO1,ENSG00000130475,+,743,760
WBP11,ENSG00000084463,+,109,126
WBP11,ENSG00000084463,+,115,132
DNASE1L3,ENSG00000163687,+,2505,2522
ETV3,ENSG00000117036,+,2957,2974
ORC3,ENSG00000135336,+,2283,2300
POFUT1,ENSG00000101346,+,2317,2334
FAAH,ENSG00000117480,+,1404,1421
SON,ENSG00000159140,+,677,694
C12orf45,ENSG00000151131,+,1766,1783
