Gene_Name,Gene_ID,TF,Strand,Start,End
ZNF341,ENSG00000131061,-,1232,1249
COL23A1,ENSG00000050767,-,2368,2385
ROBO3,ENSG00000154134,+,2571,2588
ROBO3,ENSG00000154134,-,2248,2265
WDR78,ENSG00000152763,+,1742,1759
SDHC,ENSG00000143252,+,1651,1668
SDHC,ENSG00000143252,+,1657,1674
ENG,ENSG00000106991,-,2715,2732
STRAP,ENSG00000023734,-,187,204
RNF6,ENSG00000127870,-,90,107
KANK3,ENSG00000186994,+,1315,1332
KANK3,ENSG00000186994,+,1316,1333
KANK3,ENSG00000186994,+,2507,2524
KANK3,ENSG00000186994,-,1935,1952
HLF,ENSG00000108924,+,555,572
MRO,ENSG00000134042,-,1442,1459
SF3A3,ENSG00000183431,+,715,732
SF3A3,ENSG00000183431,-,2721,2738
TMEM178A,ENSG00000152154,+,1620,1637
TNNC2,ENSG00000101470,+,1894,1911
NTNG1,ENSG00000162631,+,838,855
KCNE3,ENSG00000175538,+,2052,2069
WDR34,ENSG00000119333,-,2528,2545
RWDD3,ENSG00000122481,+,2030,2047
RWDD3,ENSG00000122481,-,1586,1603
LRRC41,ENSG00000132128,+,226,243
SUCLA2,ENSG00000136143,+,53,70
CCDC173,ENSG00000154479,-,460,477
TYK2,ENSG00000105397,-,1111,1128
TYK2,ENSG00000105397,-,1208,1225
TYK2,ENSG00000105397,-,1214,1231
APOOL,ENSG00000155008,-,2145,2162
PIBF1,ENSG00000083535,-,2784,2801
P2RY10,ENSG00000078589,-,2194,2211
METTL21A,ENSG00000144401,+,1480,1497
METTL21A,ENSG00000144401,+,1481,1498
PNISR,ENSG00000132424,-,2074,2091
ANKRD54,ENSG00000100124,+,1099,1116
ANKRD54,ENSG00000100124,+,2314,2331
FAM213A,ENSG00000122378,+,76,93
FAM213A,ENSG00000122378,-,1324,1341
SNORD89,ENSG00000212283,+,1246,1263
FCHO1,ENSG00000130475,+,724,741
FCHO1,ENSG00000130475,+,730,747
FCHO1,ENSG00000130475,+,737,754
FCHO1,ENSG00000130475,+,743,760
PDSS1,ENSG00000148459,-,170,187
PDSS1,ENSG00000148459,-,1165,1182
WBP11,ENSG00000084463,+,109,126
WBP11,ENSG00000084463,+,115,132
WBP11,ENSG00000084463,-,512,529
WBP11,ENSG00000084463,-,1721,1738
DNASE1L3,ENSG00000163687,+,2505,2522
PLPP4,ENSG00000203805,-,544,561
PLPP4,ENSG00000203805,-,550,567
ETV3,ENSG00000117036,+,2957,2974
DNAJC17,ENSG00000104129,+,2462,2479
CARS2,ENSG00000134905,-,1334,1351
ORC3,ENSG00000135336,+,2283,2300
POFUT1,ENSG00000101346,+,659,676
POFUT1,ENSG00000101346,+,2317,2334
POFUT1,ENSG00000101346,-,223,240
FAAH,ENSG00000117480,+,1404,1421
FAAH,ENSG00000117480,-,1276,1293
RDH12,ENSG00000139988,+,721,738
AURKA,ENSG00000087586,-,734,751
SNORD79,ENSG00000251878,-,875,892
SON,ENSG00000159140,+,677,694
SON,ENSG00000159140,+,989,1006
STK32B,ENSG00000152953,+,2530,2547
COL17A1,ENSG00000065618,-,2772,2789
C12orf45,ENSG00000151131,+,1766,1783
IGBP1,ENSG00000089289,+,2971,2988
