Gene_Name,Gene_ID,TF,Strand,Start,End
ROBO3,ENSG00000154134,+,2571,2588
ENG,ENSG00000106991,-,2715,2732
STRAP,ENSG00000023734,-,187,204
MRO,ENSG00000134042,-,1442,1459
SF3A3,ENSG00000183431,-,2721,2738
NTNG1,ENSG00000162631,+,838,855
TYK2,ENSG00000105397,-,1208,1225
METTL21A,ENSG00000144401,+,1480,1497
PNISR,ENSG00000132424,-,2074,2091
FCHO1,ENSG00000130475,+,743,760
PDSS1,ENSG00000148459,-,170,187
WBP11,ENSG00000084463,+,109,126
WBP11,ENSG00000084463,+,115,132
WBP11,ENSG00000084463,-,512,529
ETV3,ENSG00000117036,+,2957,2974
FAAH,ENSG00000117480,-,1276,1293
C12orf45,ENSG00000151131,+,1766,1783
