Gene_Name,Gene_ID,TF,Strand,Start,End
MFSD10,ENSG00000109736,+,1182,1199
KCNAB1,ENSG00000169282,-,575,592
ZNF341,ENSG00000131061,-,1232,1249
SFXN4,ENSG00000183605,+,1148,1165
SDR9C7,ENSG00000170426,+,951,968
SDR9C7,ENSG00000170426,-,2086,2103
COL23A1,ENSG00000050767,-,1369,1386
COL23A1,ENSG00000050767,-,2368,2385
ROBO3,ENSG00000154134,+,502,519
ROBO3,ENSG00000154134,+,2571,2588
ROBO3,ENSG00000154134,-,2248,2265
WDR78,ENSG00000152763,+,1742,1759
SPINT1,ENSG00000166145,+,1813,1830
SDHC,ENSG00000143252,+,1651,1668
SDHC,ENSG00000143252,+,1657,1674
ENG,ENSG00000106991,-,2123,2140
ENG,ENSG00000106991,-,2715,2732
STRAP,ENSG00000023734,-,187,204
STRAP,ENSG00000023734,-,193,210
RNF6,ENSG00000127870,-,90,107
RNF6,ENSG00000127870,-,1995,2012
KANK3,ENSG00000186994,+,1315,1332
KANK3,ENSG00000186994,+,1316,1333
KANK3,ENSG00000186994,+,2507,2524
KANK3,ENSG00000186994,-,1935,1952
UPF3A,ENSG00000169062,+,2293,2310
HLF,ENSG00000108924,+,555,572
HLF,ENSG00000108924,-,501,518
HLF,ENSG00000108924,-,2343,2360
HLF,ENSG00000108924,-,2761,2778
STK4,ENSG00000101109,+,1063,1080
STK4,ENSG00000101109,+,2975,2992
ZWILCH,ENSG00000174442,-,2105,2122
MRO,ENSG00000134042,-,1442,1459
COX7A2L,ENSG00000115944,-,1285,1302
COX7A2L,ENSG00000115944,-,2329,2346
SF3A3,ENSG00000183431,+,715,732
SF3A3,ENSG00000183431,-,2721,2738
TMEM178A,ENSG00000152154,+,1620,1637
UBFD1,ENSG00000103353,+,939,956
UBFD1,ENSG00000103353,+,2837,2854
TNNC2,ENSG00000101470,+,1156,1173
TNNC2,ENSG00000101470,+,1894,1911
TNNC2,ENSG00000101470,+,1900,1917
NTNG1,ENSG00000162631,+,838,855
NTNG1,ENSG00000162631,+,879,896
NTNG1,ENSG00000162631,-,2650,2667
KCNE3,ENSG00000175538,+,2052,2069
VIM,ENSG00000026025,-,1401,1418
WDR34,ENSG00000119333,-,2528,2545
RWDD3,ENSG00000122481,+,2030,2047
RWDD3,ENSG00000122481,-,1543,1560
RWDD3,ENSG00000122481,-,1586,1603
LRRC41,ENSG00000132128,+,226,243
LRRC41,ENSG00000132128,-,1588,1605
CPNE2,ENSG00000140848,-,942,959
EDAR,ENSG00000135960,+,2426,2443
EDAR,ENSG00000135960,-,0,17
EDAR,ENSG00000135960,-,1755,1772
EDAR,ENSG00000135960,-,1760,1777
HHIP,ENSG00000164161,+,1416,1433
SUCLA2,ENSG00000136143,+,53,70
SUCLA2,ENSG00000136143,+,2235,2252
PYROXD2,ENSG00000119943,-,1877,1894
CCDC173,ENSG00000154479,+,157,174
CCDC173,ENSG00000154479,-,460,477
CCDC173,ENSG00000154479,-,563,580
RBMX2,ENSG00000134597,+,2828,2845
TYK2,ENSG00000105397,-,1111,1128
TYK2,ENSG00000105397,-,1208,1225
TYK2,ENSG00000105397,-,1214,1231
SLC5A1,ENSG00000100170,-,1228,1245
DPY19L4,ENSG00000156162,-,374,391
DPY19L4,ENSG00000156162,-,1392,1409
APOOL,ENSG00000155008,+,1305,1322
APOOL,ENSG00000155008,-,403,420
APOOL,ENSG00000155008,-,1545,1562
APOOL,ENSG00000155008,-,2145,2162
UNC13A,ENSG00000130477,+,576,593
PIBF1,ENSG00000083535,+,1313,1330
PIBF1,ENSG00000083535,-,2352,2369
PIBF1,ENSG00000083535,-,2784,2801
PIBF1,ENSG00000083535,-,2969,2986
ARG2,ENSG00000081181,-,359,376
ARG2,ENSG00000081181,-,364,381
ARG2,ENSG00000081181,-,365,382
EIF2B5,ENSG00000145191,+,207,224
EIF2B5,ENSG00000145191,+,213,230
EIF2B5,ENSG00000145191,+,525,542
EIF2B5,ENSG00000145191,+,596,613
P2RY10,ENSG00000078589,-,1665,1682
P2RY10,ENSG00000078589,-,2194,2211
METTL21A,ENSG00000144401,+,1459,1476
METTL21A,ENSG00000144401,+,1480,1497
METTL21A,ENSG00000144401,+,1481,1498
METTL21A,ENSG00000144401,+,2496,2513
METTL21A,ENSG00000144401,+,2501,2518
METTL21A,ENSG00000144401,+,2502,2519
METTL21A,ENSG00000144401,+,2507,2524
METTL21A,ENSG00000144401,+,2513,2530
PNISR,ENSG00000132424,+,725,742
PNISR,ENSG00000132424,-,42,59
PNISR,ENSG00000132424,-,2073,2090
PNISR,ENSG00000132424,-,2074,2091
ANKRD54,ENSG00000100124,+,1099,1116
ANKRD54,ENSG00000100124,+,1976,1993
ANKRD54,ENSG00000100124,+,1977,1994
ANKRD54,ENSG00000100124,+,1982,1999
ANKRD54,ENSG00000100124,+,1983,2000
ANKRD54,ENSG00000100124,+,1988,2005
ANKRD54,ENSG00000100124,+,2314,2331
FAM213A,ENSG00000122378,+,64,81
FAM213A,ENSG00000122378,+,76,93
FAM213A,ENSG00000122378,-,1324,1341
FAM213A,ENSG00000122378,-,1336,1353
SNORD89,ENSG00000212283,+,928,945
SNORD89,ENSG00000212283,+,1246,1263
SNORD89,ENSG00000212283,+,2561,2578
TUBGCP3,ENSG00000126216,+,739,756
TUBGCP3,ENSG00000126216,-,2715,2732
TUBGCP3,ENSG00000126216,-,2721,2738
RWDD1,ENSG00000111832,+,2687,2704
FCHO1,ENSG00000130475,+,724,741
FCHO1,ENSG00000130475,+,730,747
FCHO1,ENSG00000130475,+,737,754
FCHO1,ENSG00000130475,+,743,760
PDSS1,ENSG00000148459,-,170,187
PDSS1,ENSG00000148459,-,1165,1182
FRMD3,ENSG00000172159,+,1500,1517
WBP11,ENSG00000084463,+,109,126
WBP11,ENSG00000084463,+,115,132
WBP11,ENSG00000084463,+,601,618
WBP11,ENSG00000084463,+,1105,1122
WBP11,ENSG00000084463,+,1217,1234
WBP11,ENSG00000084463,+,1624,1641
WBP11,ENSG00000084463,-,512,529
WBP11,ENSG00000084463,-,1721,1738
DNASE1L3,ENSG00000163687,+,2505,2522
PLPP4,ENSG00000203805,-,544,561
PLPP4,ENSG00000203805,-,549,566
PLPP4,ENSG00000203805,-,550,567
ETV3,ENSG00000117036,+,2957,2974
ETV3,ENSG00000117036,-,2444,2461
ALG5,ENSG00000120697,+,837,854
ALG5,ENSG00000120697,+,2822,2839
TMED4,ENSG00000158604,-,2067,2084
TMED4,ENSG00000158604,-,2142,2159
CDH12,ENSG00000154162,-,403,420
CDH12,ENSG00000154162,-,1557,1574
DNAJC17,ENSG00000104129,+,2462,2479
DNAJC17,ENSG00000104129,+,2468,2485
DNAJC17,ENSG00000104129,-,693,710
CARS2,ENSG00000134905,-,1334,1351
SEC62,ENSG00000008952,+,2548,2565
MYOD1,ENSG00000129152,-,844,861
SPPL2B,ENSG00000005206,-,1636,1653
SPPL2B,ENSG00000005206,-,1642,1659
ORC3,ENSG00000135336,+,2283,2300
ORC3,ENSG00000135336,-,867,884
POFUT1,ENSG00000101346,+,659,676
POFUT1,ENSG00000101346,+,2317,2334
POFUT1,ENSG00000101346,-,223,240
FAAH,ENSG00000117480,+,1404,1421
FAAH,ENSG00000117480,+,2494,2511
FAAH,ENSG00000117480,-,234,251
FAAH,ENSG00000117480,-,1202,1219
FAAH,ENSG00000117480,-,1276,1293
MTHFD1,ENSG00000100714,-,380,397
RDH12,ENSG00000139988,+,715,732
RDH12,ENSG00000139988,+,721,738
RDH12,ENSG00000139988,+,727,744
RDH12,ENSG00000139988,+,871,888
AURKA,ENSG00000087586,+,474,491
AURKA,ENSG00000087586,+,475,492
AURKA,ENSG00000087586,-,734,751
SNORD79,ENSG00000251878,-,875,892
SON,ENSG00000159140,+,670,687
SON,ENSG00000159140,+,677,694
SON,ENSG00000159140,+,989,1006
STK32B,ENSG00000152953,+,2530,2547
CDH10,ENSG00000040731,+,220,237
CDH10,ENSG00000040731,+,274,291
DHCR7,ENSG00000172893,-,2033,2050
SASH3,ENSG00000122122,+,282,299
SASH3,ENSG00000122122,+,1578,1595
SASH3,ENSG00000122122,-,1823,1840
COL17A1,ENSG00000065618,-,2772,2789
C12orf45,ENSG00000151131,+,1539,1556
C12orf45,ENSG00000151131,+,1766,1783
IGBP1,ENSG00000089289,+,2971,2988
